653025916,Micaela,Antoniewski,Antoniewski.Micaela@viu.ca,"aD0?vI""fU2}q""{4o",PROFESSOR
393827978,Renae,Cattroll,Cattroll.Renae@viu.ca,"pR1@KFLpx""s/YS|q'",PROFESSOR
221486007,Nanny,Gradon,Gradon.Nanny@viu.ca,nE3}7x1n=l?}\6b!,STUDENT
613733774,Lucius,Hendriks,Hendriks.Lucius@viu.ca,"hR5'k8yjbHfNlj(""8>/'",STUDENT
993682284,Randie,Ciabatteri,Ciabatteri.Randie@viu.ca,bK2)_nnN9%C,PROFESSOR
877070181,Ricardo,Tritton,Tritton.Ricardo@viu.ca,"mK7&I$`,+nJ2g~G/$IC",STUDENT
431091203,Arlen,Likly,Likly.Arlen@viu.ca,"pI7/Q%br43At5H,BD,f",PROFESSOR
066272807,Aura,Apfler,Apfler.Aura@viu.ca,"zF9<""$kHLyM",STUDENT
244821758,Collie,Nell,Nell.Collie@viu.ca,kU8?NY$*3Cdgt7XY.e,PROFESSOR
641844225,Eveleen,McNally,McNally.Eveleen@viu.ca,zQ0$2HN\oEzChU<6wf)~,PROFESSOR
787270427,Pooh,York,York.Pooh@viu.ca,tH4/*5Il0/NcjM=Q6_,PROFESSOR
239698165,Clarence,Merrin,Merrin.Clarence@viu.ca,oE5)ue)n*VIdFNbyE$v,PROFESSOR
130526484,Chantalle,Heis,Heis.Chantalle@viu.ca,"jZ7|8K0""8zrPA$<SRJ'*",PROFESSOR
001734611,Jaye,Maidens,Maidens.Jaye@viu.ca,mL7&Da#yw(J0,STUDENT
097816700,Marlon,Durman,Durman.Marlon@viu.ca,"iT7""zs3dJSmC1&Yi",STUDENT
363417659,Shadow,Magnay,Magnay.Shadow@viu.ca,fB5(QWXzH=cZ`'L{a~,PROFESSOR
140035341,Arney,Varnes,Varnes.Arney@viu.ca,mQ4?XXG3mksYr,PROFESSOR
718957766,Anthia,By,By.Anthia@viu.ca,tV2<hX/>G4a',PROFESSOR
095373012,Raquel,Derricoat,Derricoat.Raquel@viu.ca,"dA2,Li%vee>""",PROFESSOR
040047156,Olivette,Hegel,Hegel.Olivette@viu.ca,dI5#fdH5}i{H~'hP,STUDENT
701668365,Roarke,Bail,Bail.Roarke@viu.ca,bH4.C/~jQVEl%,STUDENT
615200072,Mira,Marty,Marty.Mira@viu.ca,oQ9+8im<jZH,PROFESSOR
793397180,Idell,Bramont,Bramont.Idell@viu.ca,"gO4,''3reu'Hh,F?%v",PROFESSOR
527566579,Adoree,Sanday,Sanday.Adoree@viu.ca,yU1${P**3LqFcdM,PROFESSOR
952450703,Elsy,Grindley,Grindley.Elsy@viu.ca,qE5*FS|/DRUvt!'s,STUDENT
