734552694;Kristofer;Nuth;Nuth.Kristofer@viu.ca;NE7R0936y5E;STUDENT
646979538;Doro;Lapidus;Lapidus.Doro@viu.ca;K18MFp4DRl1;PROFESSOR
277155889;Fidelia;Esmond;Esmond.Fidelia@viu.ca;AA3Ymd8P63c;PROFESSOR
366723417;Gavrielle;Chidlow;Chidlow.Gavrielle@viu.ca;MMRa9p0F36O;PROFESSOR
454001474;Ardisj;Callway;Callway.Ardisj@viu.ca;RS9Csy3YgRs;STUDENT
582676988;Titos;Smythe;Smythe.Titos@viu.ca;Y26ovc4GeL2;PROFESSOR
372575510;Augustine;Cattemull;Cattemull.Augustine@viu.ca;Y0IdP258vi7;STUDENT
540210210;Marris;Pease;Pease.Marris@viu.ca;TH9ix62VurQ;STUDENT
301695771;Dalis;Carlesso;Carlesso.Dalis@viu.ca;WCzPk92OCCx;STUDENT
779823871;Sandye;Wyson;Wyson.Sandye@viu.ca;PXkyRu34wgF;PROFESSOR
434957304;Gilly;Cockarill;Cockarill.Gilly@viu.ca;XePGmh1H0F7;STUDENT
204058996;Lanna;Belford;Belford.Lanna@viu.ca;Vmospe42Ejr;STUDENT
789529455;Marilyn;Bernardeau;Bernardeau.Marilyn@viu.ca;ZK2KG203AGU;PROFESSOR
33880273;Shell;Chrishop;Chrishop.Shell@viu.ca;ZNF8U405bRO;STUDENT
71465493;Hans;Rafe;Rafe.Hans@viu.ca;EXJcro5FEOC;PROFESSOR
650430194;Cleavland;Coumbe;Coumbe.Cleavland@viu.ca;KFKVTa00R2X;PROFESSOR
827045091;Arv;Swepson;Swepson.Arv@viu.ca;Bvyfnv7OEpu;STUDENT
558083648;Manda;Bulmer;Bulmer.Manda@viu.ca;A1jSss6GBpP;PROFESSOR
112294355;Emmye;Parish;Parish.Emmye@viu.ca;FHz5ab14uZj;STUDENT
777605744;Reta;Tomaszynski;Tomaszynski.Reta@viu.ca;DTmZkw9Re2l;PROFESSOR
518252650;Jami;Jonas;Jonas.Jami@viu.ca;Syj41z57OrH;STUDENT
341791431;Rosabella;Waggatt;Waggatt.Rosabella@viu.ca;SHsqzn7Ft14;PROFESSOR
411120088;Markos;Choak;Choak.Markos@viu.ca;Nj6HJe1Pqad;STUDENT
541738170;Gerda;MacKibbon;MacKibbon.Gerda@viu.ca;Ej3Kd53CqaA;PROFESSOR
733335001;Eduino;Fetherstonhaugh;Fetherstonhaugh.Eduino@viu.ca;OmAvaw79JTn;STUDENT
